record_type,title,year,priority,status,topics,projects,methods,datasets,doi,pmid,accession,repository,organism,access,last_verified,last_updated,path
paper,Distinct cellular phenotypes of language and executive decline in amyotrophic lateral sclerosis,2026,1,needs_full_text,neurodegeneration; ALS; AD_ADRD; single_cell; transcriptomics; spatial_omics; multi_omics,,snRNAseq; spatial_transcriptomics,,10.1016/j.cell.2026.07.008,42551425,,,,,2026-09-01,,02_PAPERS/2026/petrescu_2026_als-cognitive-language-snrna-spatial.md
paper,Multi-modal dissection of cell-type specific TDP-43 pathology in the motor cortex,2026,1,partial,neurodegeneration; ALS; AD_ADRD; single_cell; transcriptomics; spatial_omics; multi_omics,,snRNAseq; snATACseq; FANS; spatial_transcriptomics,,10.1038/s41467-026-69944-6,41803120,,,,,2026-06-22,,02_PAPERS/2026/ruf_2026_celltype-tdp43-motor-cortex.md
paper,Recurrent patterns of TOP1-mediated neuronal genomic damage shared by major neurodegenerative disorders,2026,1,partial,neurodegeneration; ALS; AD_ADRD; single_cell; transcriptomics,,snRNAseq; FANS,,10.1016/j.cell.2026.06.013,42385702,,,,,2026-09-01,,02_PAPERS/2026/zhou_2026_top1-somatic-mutations-als-ftd-ad.md
paper,Spatial multi-omics identifies early synaptic pruning and context-specific dopaminergic vulnerability in synucleinopathies,2026,1,needs_full_text,neurodegeneration; AD_ADRD; single_cell; transcriptomics; spatial_omics; multi_omics,,spatial_transcriptomics; imaging,,10.1038/s41467-026-74961-6,42481480,,,,,2026-09-01,,02_PAPERS/2026/rumpf_2026_spatial-multiomics-synucleinopathy-dopamine.md
paper,TGF-β1-induced endothelial transcytosis drives blood-brain barrier leakage during aging,2026,1,needs_full_text,neurodegeneration; AD_ADRD; aging; mechanobiology,,imaging; bulk_RNAseq,,10.1016/j.neuron.2026.06.003,42385697,,,,,2026-09-01,,02_PAPERS/2026/fang_2026_tgfb1-bbb-transcytosis-aging.md
paper,Tau368 improves p-tau diagnostic accuracy for FTLD-tau from FTLD-TDP,2026,1,verified,neurodegeneration; AD_ADRD,,biomarker; external_validation; human_cohort,,10.1007/s00401-026-03042-1,42340485,,,,,2026-07-01,,02_PAPERS/2026/kac_2026_tau368-ftld-tau-csf-biomarker.md
paper,A comprehensive head-to-head comparison of key plasma phosphorylated tau 217 biomarker tests,2025,1,verified,neurodegeneration; AD_ADRD; aging,,biomarker; external_validation; human_cohort,,10.1093/brain/awae346,39468767,,,,,2026-06-22,,02_PAPERS/2025/warmenhoven_2025_ptau217-head-to-head-biofinder2.md
paper,A tabletop blast device for the study of the long-term consequences of traumatic brain injury on brain organoids,2025,1,verified,neurodegeneration; TBI; ALS; AD_ADRD; mechanobiology; organoid,,organoid; controlled_exposure; imaging,,10.1016/j.crmeth.2025.101213,41187748,,,,,2026-06-22,,02_PAPERS/2025/sirtori_2025_tabletop-blast-organoid-tbi.md
paper,Removal of unwanted variation in pseudobulk analysis of single-cell RNA sequencing data and the leveraging of pseudoreplicates,2025,1,verified,transcriptomics; single_cell; multi_omics,,analysis_method; snRNAseq; scRNAseq,,10.1093/nargab/lqaf179,41368194,,,,,2026-06-22,,02_PAPERS/2025/prieto-leon_2025_ruv-pseudobulk-scrnaseq.md
paper,A fluid biomarker reveals loss of TDP-43 splicing repression in presymptomatic ALS-FTD,2024,1,verified,neurodegeneration; ALS; AD_ADRD,,biomarker; external_validation,,10.1038/s41591-023-02788-5,38278991,,,,,2026-06-22,,02_PAPERS/2024/irwin_2024_cryptic-hdgfl2-tdp43-fluid-biomarker.md
